# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 10:47:17 EST 2017, 3072, 0.390, 9, 0.150, 356, 53, 11, 39, 48, 59.793, 62.600
Mon Jan  9 10:47:42 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 20.293, 19.340
Mon Jan  9 10:47:53 EST 2017, 5547, 0.140, 2, 0.400, 581, 31, 6, 26, 26, 9.707, 8.207
Mon Jan  9 10:49:23 EST 2017, 597, 0.640, 6, 0.900, 431, 76, 15, 1, 71, 69.287, 67.497
Mon Jan  9 10:49:55 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 25.467, 25.410
Mon Jan  9 10:53:20 EST 2017, 5393, 0.900, 8, 0.760, 370, 83, 19, 21, 67, 172.667, 175.857
Mon Jan  9 10:53:47 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 20.367, 22.463
Mon Jan  9 10:54:07 EST 2017, 2918, 0.650, 1, 0.510, 595, 60, 4, 8, 89, 17.557, 16.347
Mon Jan  9 10:54:14 EST 2017, 4155, 0.030, 9, 0.390, 407, 72, 7, 15, 10, 6.730, 6.187
Mon Jan  9 10:55:38 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 72.490, 78.673
Mon Jan  9 10:56:03 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 22.587, 23.253
Mon Jan  9 10:56:25 EST 2017, 1680, 0.780, 7, 0.640, 332, 49, 2, 27, 78, 17.843, 17.193
Mon Jan  9 10:56:28 EST 2017, 2299, 0.220, 1, 0.950, 351, 43, 8, 5, 16, 1.917, 1.967
Mon Jan  9 11:02:04 EST 2017, 7249, 0.720, 5, 0.450, 501, 88, 18, 30, 61, 269.690, 286.073
Mon Jan  9 11:02:26 EST 2017, 9724, 0.470, 7, 0.700, 576, 21, 13, 18, 38, 19.000, 20.180
Mon Jan  9 11:03:19 EST 2017, 4774, 0.970, 3, 0.200, 426, 66, 3, 43, 83, 42.287, 42.563
Mon Jan  9 11:03:56 EST 2017, 3536, 0.340, 6, 0.820, 539, 55, 6, 36, 27, 32.533, 23.217
Mon Jan  9 11:04:06 EST 2017, 8486, 0.840, 2, 0.320, 389, 10, 15, 11, 72, 9.413, 7.183
Mon Jan  9 11:06:03 EST 2017, 6011, 0.090, 4, 0.570, 314, 77, 10, 49, 50, 101.013, 99.660
Mon Jan  9 11:06:14 EST 2017, 1061, 0.590, 8, 0.070, 464, 32, 1, 24, 95, 8.873, 7.687
Mon Jan  9 11:06:55 EST 2017, 752, 0.060, 5, 0.170, 586, 12, 19, 10, 92, 28.500, 38.530
Mon Jan  9 11:07:28 EST 2017, 5702, 0.560, 1, 0.670, 436, 57, 10, 35, 47, 24.850, 25.883
Mon Jan  9 11:07:43 EST 2017, 8177, 0.310, 3, 0.420, 361, 35, 5, 22, 69, 14.007, 13.663
Mon Jan  9 11:09:36 EST 2017, 3227, 0.810, 8, 0.920, 511, 80, 15, 47, 24, 100.100, 100.430
Mon Jan  9 11:12:15 EST 2017, 4465, 0.440, 2, 0.040, 323, 91, 17, 29, 81, 124.690, 151.923
Mon Jan  9 11:12:30 EST 2017, 9415, 0.940, 6, 0.540, 473, 46, 7, 4, 36, 12.213, 12.870
Mon Jan  9 11:13:33 EST 2017, 6940, 0.190, 9, 0.290, 548, 69, 3, 41, 58, 40.420, 54.257
Mon Jan  9 11:13:37 EST 2017, 1990, 0.690, 4, 0.790, 398, 24, 12, 16, 13, 4.090, 3.940
Mon Jan  9 11:16:08 EST 2017, 1371, 0.250, 8, 0.600, 417, 29, 18, 38, 86, 118.927, 132.923
Mon Jan  9 11:17:11 EST 2017, 6321, 0.750, 4, 0.100, 567, 74, 9, 13, 41, 56.840, 47.923
